Order #,Product,SKU,QTY,Notes
#70347,"Bagels, Schmears, and A Nice Piece of Fish: A Whole Brunch of Recipes to Make at Home",Cathy Barrow,1,
#70352,The Long Loaf: Bread For All Days,Andrew Barton,1,
#70353,Hiakai: Modern Maori Cuisine,Monique Faso,1,
#70354,The Next Dessert,"Park Yoon-Seon, editor",1,
#70359,The Irish Bakery,Cherie Denham and Kitty Corrigan,1,
#70365,The Talisman of Happiness: The Most Iconic Italian Cookbook Ever Written,Ada Boni,1,
#70371,Traditional Prekmurian Cookbook,Matej Fišer,1,
#70376,The Talisman of Happiness: The Most Iconic Italian Cookbook Ever Written,Ada Boni,1,
#70377,Made Here: Recipes & Reflections From NYC's Asian Communities,Send Chinatown Love,1,
#70378,A New Napa Cuisine,Christopher Kostow,1,
#70379,The Blue Food Cookbook: Delicious Seafood Recipes for a Sustainable Future,Andrew Zimmern and Barton Seaver,1,
#70380,Indian-Jewish Food: Recipes and Stories from the Backstreets of Bondi,Elana Benjamin,1,
#70381,The Blue Food Cookbook: Delicious Seafood Recipes for a Sustainable Future,Andrew Zimmern and Barton Seaver,1,
#70382,"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City | Slipcased Edition",Katie Parla,1,
#70385,Five Morsels of Love,Archana Pidathala,1,
#70387,The Long Loaf: Bread For All Days,Andrew Barton,1,

Product,SKU,Total QTY Needed
A New Napa Cuisine,Christopher Kostow,1
"Bagels, Schmears, and A Nice Piece of Fish: A Whole Brunch of Recipes to Make at Home",Cathy Barrow,1
Five Morsels of Love,Archana Pidathala,1
Hiakai: Modern Maori Cuisine,Monique Faso,1
Indian-Jewish Food: Recipes and Stories from the Backstreets of Bondi,Elana Benjamin,1
Made Here: Recipes & Reflections From NYC's Asian Communities,Send Chinatown Love,1
"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City | Slipcased Edition",Katie Parla,1
The Blue Food Cookbook: Delicious Seafood Recipes for a Sustainable Future,Andrew Zimmern and Barton Seaver,2
The Irish Bakery,Cherie Denham and Kitty Corrigan,1
The Long Loaf: Bread For All Days,Andrew Barton,2
The Next Dessert,"Park Yoon-Seon, editor",1
The Talisman of Happiness: The Most Iconic Italian Cookbook Ever Written,Ada Boni,2
Traditional Prekmurian Cookbook,Matej Fišer,1
